Date,Time,MC%,Drop
3/22/2019,13:45,8.8,4.83
3/22/2019,19:45,8.9,3.83
3/22/2019,19:45,9,3.67
3/22/2019,21:45,9.1,6.25
3/22/2019,21:45,9.1,6
3/22/2019,21:45,9.4,6.33
3/22/2019,23:45,9.4,5
3/22/2019,23:45,9.1,3.42
3/23/2019,1:45,9.2,3.17
3/23/2019,1:45,9,3.67
3/23/2019,3:45,9.1,3.08
3/26/2019,15:45,8.6,6.92
3/26/2019,15:45,8.8,5.58
3/26/2019,15:45,8.6,5.75
3/26/2019,21:45,9.6,6.83
3/26/2019,21:45,9.5,7.58
3/26/2019,23:45,8.8,4.75
3/26/2019,23:45,9,4.33
3/27/2019,1:45,9.2,5.67
3/27/2019,1:45,9,6.75
3/27/2019,1:45,8.9,6.42
3/27/2019,3:45,8.8,5.83
3/27/2019,3:45,9,5.25
3/27/2019,7:45,8.9,4.67
3/27/2019,7:45,8.7,5.08
3/27/2019,7:45,8.8,4.5
3/27/2019,9:45,8.5,3.67
3/27/2019,11:45,9,4
3/27/2019,11:45,9,3.33
3/27/2019,11:45,9.2,4.17
3/27/2019,13:40,9.1,2.75
3/27/2019,13:40,8.8,3.75
3/27/2019,17:45,9.1,4.33
3/27/2019,21:45,9.1,3.92
3/27/2019,23:35,8.8,3.58
3/28/2019,1:45,8.7,6.58
3/28/2019,1:45,8.5,6
3/28/2019,1:45,8.7,6.25
3/28/2019,1:45,8.6,5.83
3/28/2019,3:45,8.9,6.42
3/28/2019,3:45,9.2,5.83
3/28/2019,5:45,9,5.33
3/28/2019,5:45,8.9,5.17
3/28/2019,5:45,8.9,4.75
3/28/2019,7:45,9.1,6.08
3/28/2019,7:45,8.9,6.33
3/28/2019,11:45,8.8,4.83
3/28/2019,11:45,8.7,4.17
3/28/2019,13:45,8.9,5.75
3/28/2019,15:45,8.6,2.92
3/28/2019,15:45,8.8,3.5
3/28/2019,15:45,9,3.67
3/28/2019,17:45,8.8,4.83
3/28/2019,17:45,8.6,3.17
3/28/2019,17:45,8.6,4.67
3/30/2019,17:45,9,4.92
3/30/2019,17:45,9.1,4.83
3/30/2019,19:45,8.6,3.33
3/30/2019,19:45,8.5,3.67
3/30/2019,21:45,9,5.5
3/30/2019,21:45,8.7,5.83
3/30/2019,21:45,8.9,3.33
3/30/2019,23:45,8.8,3.83
3/30/2019,23:45,8.9,3.67
3/30/2019,23:45,8.8,3.67
3/31/2019,3:45,9,4.33
3/31/2019,3:45,9,4.83
3/31/2019,5:45,9,4.92
3/31/2019,5:45,8.8,4.25
3/31/2019,5:45,8.7,4.17
3/31/2019,7:45,8.8,4.17
3/31/2019,7:45,9,4.75
3/31/2019,7:45,8.7,5.17
3/31/2019,9:45,8.8,6.17
3/31/2019,9:45,8.7,5
3/31/2019,13:45,9,4.83
3/31/2019,21:45,8.5,4
3/31/2019,21:45,8.5,4.17
3/31/2019,23:45,9.1,5.17
3/31/2019,23:45,9.1,5.08
4/1/2019,1:45,9.2,4.83
4/1/2019,1:45,9.1,6
4/1/2019,3:45,9,4.42
4/1/2019,3:45,9.2,4.92
4/1/2019,3:45,8.9,4.25
4/1/2019,5:45,8.9,4.58
4/1/2019,7:45,8.8,5.5
4/1/2019,9:45,8.9,5.5
4/1/2019,9:45,8.6,4.75
4/1/2019,9:45,8.6,4.83
4/1/2019,13:45,8.9,4.58
4/1/2019,15:45,8.8,4.5
4/1/2019,15:45,8.8,5.42
4/1/2019,15:45,9,4.92
4/1/2019,17:45,8.6,5.17
4/1/2019,23:45,8.8,4.08
4/2/2019,1:45,9.4,4.67
4/2/2019,1:45,9.4,5.42
3/25/2019,15:45,,
3/25/2019,17:45,8.5,3.42
3/25/2019,19:45,9,5.08
3/25/2019,21:45,9,5.42
